,model2_risk_score,downtime_ratio,max_continuous_downtime_hours
Boni Serrano,14.145667098601777,0.5828106085616815,735.5386666666667
"Brgy. Benedicto, Jaro, Iloilo",12.225991919501805,0.060359436318230486,690.0
Brgy. Ambassador,4.680188931889108,0.08742415885273025,231.0
Demo Unit 4,4.437215094852876,0.46101295641931683,328.238
Tagaytay (Neogan),2.495993369475605,0.09095260890378165,213.0
MNHS AQ Station,1.8509568062963473,0.33303011442524055,22.044500000000003
"Quezon Rd, San Simon",1.714827724942305,0.19191285502452382,41.372166666666665
Ayala Ave.,1.29354861548109,0.4715703260355961,27.87366666666667
Illumina,1.2897932591618768,0.033211105290728016,91.0
Manila Observatory,1.19009420535525,0.016174613673260785,67.0
ASMPH,1.1812110134112042,0.18958887902987287,5.9046666666666665
President Roxas,1.1159396028303408,0.025140977443609103,22.0
Samal Municipal Hall,1.0778225986567507,0.24694080035277255,21.872166666666665
Pinya Farm,1.0679056865464633,0.0026352288488210585,3.0
Malabon Action Center,1.024862643495056,0.28634575217370184,21.713833333333334
NASA GSFC Rutgers Calib. N12,1.0207878523549259,0.2771817058096415,19.048333333333336
Kalayaan Avenue  - South Avenue Intersection,0.9991891482169911,0.29509582863585115,22.040333333333333
Bataan Tourism Park,0.9737812801244906,0.3305406721870433,12.873666666666667
Santa Clara - Pasay City General Hospital,0.9202437697125463,0.2841477491342824,22.043833333333335
Rajah Sulayman Park,0.8837980842511961,0.47355630135400995,27.540000000000003
Tivoli,0.8600625058105418,0.02652270860227668,48.0
Barangay Tanza 2 Hall,0.8285498190197265,0.28766006426550284,22.04416666666667
"Lamao, Limay",0.8252513072044938,0.3318854886475815,12.875499999999999
"Near Katipunan Ave., Quezon City",0.7913858801898038,0.2844383734370075,21.87366666666667
"Bo. Luz Barangay Hall, Limay",0.7904163141719086,0.33206775700934577,13.206666666666667
Sta. Ana Hospital,0.7849906039756501,0.4852983157293749,28.208666666666666
Near Puregold Tayuman,0.7281975259847789,0.4853962515459994,27.5405
STRC,0.7265751047970205,0.037135278514588865,51.0
Valle1,0.7188551620215712,0.03710054559625875,16.0
3S Center Ugong,0.7136218141806544,0.29649279308887744,22.0405
Along Shaw Blvd.,0.7106063151624733,0.33175728920409775,12.875333333333334
Anda Circle,0.6879318390930764,0.4852521408182683,27.876166666666666
Near Sucat Interchange/Exit,0.6364004939331069,0.3306698234191575,12.875
Pateros Bridge,0.6330827800227503,0.29294747312082603,22.042166666666667
San Sebastian Residences,0.6087611498277613,0.482729089351984,27.540833333333335
Gen. Luna St. corner Gov. Pascual Ave.,0.6036968447790119,0.29438594137769136,22.0425
Marikina Sports Complex,0.5947340922227345,0.3009110021023126,22.041666666666668
North Caloocan Nova Romania - Alora (download airgradient mobile app for realtime data),0.5829006675288328,0.0056246691371094615,4.0
Bradco Ave. cor Macapagal,0.5610823438795052,0.29268968063503786,21.872
Demo Unit 1,0.5585836321595413,0.21512287334593572,41.380833333333335
Mandaluyong Elementary School,0.5554954942745275,0.2890812185223216,22.0505
C3 Road (5th Avenue) - Rizal Avenue Extension,0.5539111923255946,0.2952304571401614,22.041999999999998
Caloocan Sports Complex,0.5210155496372811,0.28619017292901583,22.049666666666667
Sto. Rosario Bridge,0.51902654291489,0.2910827117677799,22.041999999999998
Barangay San Rafael Hall,0.5180520681483337,0.28731594649215664,22.044500000000003
Mandaluyong City,0.4714173295767516,0.31854072963518243,11.541666666666666
Demo Unit 2,0.44173817067355003,0.17318518518518522,16.573666666666664
Ortigas,0.37377851271705487,0.23014598030313616,18.791666666666668
Barangay Tunasan - Maharlika Highway (SM Center Muntinlupa),0.37105885073300093,0.28601549475335886,22.05
3S Center Bagbaguin,0.3414207951666423,0.28774579512577847,22.050333333333334
Unnamed (DNVBA1576 → AL739RG7),0.3135383910441881,0.28856536829926727,22.045
"Monumento, Caloocan",0.308518396716684,0.28173506272591964,21.5425
3S Center Paso De Blas,0.2969047907386048,0.28655660377358494,22.050333333333334
Valenzuela CENRO (ARCA North),0.2873270233206579,0.29305488768290167,21.715833333333332
Aurora Boulevard (Tramo) - Andrews Avenue,0.2083259008912315,0.28651603142843196,21.71466666666667
Barangay Fortune - Santan Street,0.2034340399862776,0.2859526029144792,22.049500000000002
San Juan Mini Park,0.19933158024090228,0.28819360748204215,22.045333333333335
Barangay Tambo - Quirino Avenue,0.19738019512743354,0.28640327373702923,22.048333333333336
J.P. Rizal Avenue corner Pertierra,0.18336683067148493,0.2842428975885971,22.048000000000002
Barangay Buli - Concepcion Street,0.16732801532440175,0.2840101654478502,22.0475
Old Wack Wack Road corner Shaw Boulevard,0.15093803837030934,0.28313431362873775,22.050833333333333
Barangay San Antonio - Parañaque-Sucat Road (Shopwise),0.11634117037194153,0.28527803772841454,22.0505
Ortigas Avenue-Roosevelt Intersection,0.11452426891628427,0.2857488507137672,22.045833333333334
Makati Avenue  - Antonio Arnaiz Avenue Intersection,0.08286983746602924,0.2847042761714369,22.047833333333333
Makati Avenue - Buendia Avenue Intersection,0.08158081438420016,0.2854277747884362,22.048833333333334
J.P. Rizal Avenue corner Camia,0.06311342080342344,0.2852322738386308,22.048333333333336
World Trade Center,0.0,0.28800936269815935,22.037166666666668
