timestamp,score,is_anomaly,alpha_bidirectional,alpha_reconstruction
2023-09-06 20:00:00+00:00,1.044471677225079,0,0.0,0.0827871561050415
2023-09-06 20:20:00+00:00,1.0444720608043,0,0.0,0.0855984091758728
2023-09-06 20:40:00+00:00,1.0444720528588065,0,0.0,0.08272963762283325
2023-09-06 21:00:00+00:00,1.0444713537326564,0,0.0,0.07766395807266235
2023-09-06 21:20:00+00:00,1.0444699636502066,0,0.0,0.07259863615036011
2023-09-06 21:40:00+00:00,1.044467324435822,0,0.0,0.06344115734100342
2023-09-06 22:00:00+00:00,1.0444634363905174,0,0.0,0.05428355932235718
2023-09-06 22:20:00+00:00,1.0444584679183266,0,0.0,0.04635787010192871
2023-09-06 22:40:00+00:00,1.0444524192774132,0,0.0,0.03843206167221069
2023-09-06 23:00:00+00:00,1.0444455202390566,0,0.0,0.032188236713409424
2023-09-06 23:20:00+00:00,1.0444377710111252,0,0.0,0.02594435214996338
2023-09-06 23:40:00+00:00,1.0444293821458215,0,0.0,0.02124202251434326
2023-09-07 00:00:00+00:00,1.0444203537974808,0,0.0,0.01653963327407837
2023-09-07 00:20:00+00:00,1.0444108578588158,0,0.0,0.013095855712890625
2023-09-07 00:40:00+00:00,1.0444008944567273,0,0.0,0.009652137756347656
2023-09-07 01:00:00+00:00,1.0443905967122749,0,0.0,0.007183194160461426
2023-09-07 01:20:00+00:00,1.0443799647185144,0,0.0,0.004714310169219971
2023-09-07 01:40:00+00:00,1.0443690985764007,0,0.0,0.0029784440994262695
2023-09-07 02:00:00+00:00,1.044357998361673,0,0.0,0.0012426972389221191
2023-09-07 02:20:00+00:00,1.0443467377022722,0,0.0,4.6133995056152344e-05
2023-09-07 02:40:00+00:00,1.044335630537121,0,0.0,0.0011501312255859375
2023-09-07 03:00:00+00:00,1.0443246361962175,0,0.0,0.001956343650817871
2023-09-07 03:20:00+00:00,1.044313754634639,0,0.0,0.002762436866760254
2023-09-07 03:40:00+00:00,1.0443029479171828,0,0.0,0.003290712833404541
2023-09-07 04:00:00+00:00,1.0442922160248385,0,0.0,0.003818988800048828
2023-09-07 04:20:00+00:00,1.0442815324259689,0,0.0,0.004152953624725342
2023-09-07 04:40:00+00:00,1.0442708971001748,0,0.0,0.00448685884475708
2023-09-07 05:00:00+00:00,1.0442602910615848,0,0.0,0.004681706428527832
2023-09-07 05:20:00+00:00,1.044249715913036,0,0.0,0.004888355731964111
2023-09-07 05:40:00+00:00,1.0442391459554548,0,0.0,0.004906713962554932
2023-09-07 06:00:00+00:00,1.0442285876692916,0,0.0,0.004972577095031738
2023-09-07 06:20:00+00:00,1.0442180366680518,0,0.0,0.005006313323974609
2023-09-07 06:40:00+00:00,1.0442074919088982,0,0.0,0.0050324201583862305
2023-09-07 07:00:00+00:00,1.0441969526826995,0,0.0,0.005053341388702393
2023-09-07 07:20:00+00:00,1.044186417556694,0,0.0,0.005063772201538086
2023-09-07 07:40:00+00:00,1.0441758848626344,0,0.0,0.005061984062194824
2023-09-07 08:00:00+00:00,1.0441653529164323,0,0.0,0.005047857761383057
2023-09-07 08:20:00+00:00,1.0441548225230362,0,0.0,0.005039632320404053
2023-09-07 08:40:00+00:00,1.0441442931371598,0,0.0,0.005027413368225098
2023-09-07 09:00:00+00:00,1.0441337633109253,0,0.0,0.005004584789276123
2023-09-07 09:20:00+00:00,1.0441232326784726,0,0.0,0.004979074001312256
2023-09-07 09:40:00+00:00,1.0441127042897724,0,0.0,0.00497591495513916
2023-09-07 10:00:00+00:00,1.0441021773147183,0,0.0,0.004966676235198975
2023-09-07 10:20:00+00:00,1.0440916497360395,0,0.0,0.004942655563354492
2023-09-07 10:40:00+00:00,1.0440811240831618,0,0.0,0.004937171936035156
2023-09-07 11:00:00+00:00,1.0440705997293773,0,0.0,0.004927098751068115
2023-09-07 11:20:00+00:00,1.0440600784472869,0,0.0,0.004930019378662109
2023-09-07 11:40:00+00:00,1.0440495598457402,0,0.0,0.004930078983306885
2023-09-07 12:00:00+00:00,1.044039044525877,0,0.0,0.004934549331665039
2023-09-07 12:20:00+00:00,1.0440285321208913,0,0.0,0.004936337471008301
2023-09-07 12:40:00+00:00,1.0440180225080526,0,0.0,0.004937231540679932
2023-09-07 13:00:00+00:00,1.0440075155565283,0,0.0,0.004937171936035156
2023-09-07 13:20:00+00:00,1.043997011908126,0,0.0,0.004941821098327637
2023-09-07 13:40:00+00:00,1.0439865122207568,0,0.0,0.004951298236846924
2023-09-07 14:00:00+00:00,1.0439760164527505,0,0.0,0.004960477352142334
2023-09-07 14:20:00+00:00,1.0439655242208745,0,0.0,0.004966855049133301
2023-09-07 14:40:00+00:00,1.0439550351338607,0,0.0,0.004970371723175049
2023-09-07 15:00:00+00:00,1.043944548881867,0,0.0,0.004971623420715332
2023-09-07 15:20:00+00:00,1.043934065203927,0,0.0,0.004970967769622803
2023-09-07 15:40:00+00:00,1.0439235839773962,0,0.0,0.004969418048858643
2023-09-07 16:00:00+00:00,1.0439131035913753,0,0.0,0.004956066608428955
2023-09-07 16:20:00+00:00,1.043902623907395,0,0.0,0.004941701889038086
2023-09-07 16:40:00+00:00,1.0438921454295047,0,0.0,0.004931032657623291
2023-09-07 17:00:00+00:00,1.0438816683769814,0,0.0,0.004921972751617432
2023-09-07 17:20:00+00:00,1.0438711935546012,0,0.0,0.004918813705444336
2023-09-07 17:40:00+00:00,1.043860721815732,0,0.0,0.004921913146972656
