candidate_id,province,builtup_frac,is_eligible,dist_to_existing_km,lon,lat
61,Tawi-Tawi,885.0,True,690.5390407335142,119.75523041819933,5.021846890389332
328,Sulu,836.0,True,559.9799523280798,120.81907676371904,5.547547019981871
1072,Sarangani,129.0,True,134.1180093396875,125.29501829017288,5.983018377942764
1171,Sulu,42.0,True,523.6236342978619,121.01763850609164,6.035908660507767
1430,South Cotabato,948.0,True,130.70777694572803,125.13355911973777,6.074454508042786
1579,Sarangani,549.0,True,121.86284640445837,125.25997599978321,6.109549187380629
1658,South Cotabato,3559.0,True,123.59408402961712,125.17001667292767,6.128291971450667
2072,South Cotabato,4124.0,True,120.10474353961013,125.06256646853446,6.219321856511875
3115,Davao Occidental,2295.0,True,81.2645922500906,125.60493257661595,6.413196156500745
3391,South Cotabato,1013.0,True,113.63353827423862,124.84808415092384,6.473565570561035
4392,Sultan Kudarat,1175.0,True,126.70032130138242,124.59664090611162,6.63786090902318
4463,Basilan,1520.0,True,386.459360469342,122.15714295552924,6.667590260002939
4540,Davao Oriental,29.0,True,76.02169515569044,126.09368000157566,6.642781953213279
4644,City of Isabela (not a province),1646.0,True,405.71153228752985,121.97635981541588,6.704142050691354
4691,Sultan Kudarat,281.0,True,113.30872118117992,124.70534934166832,6.691208063004205
4788,Sultan Kudarat,35.0,True,105.30384013320923,124.7776902747754,6.7087061164673
4881,Maguindanao del Sur,66.0,True,102.6076432609137,124.7958801707928,6.726612766563418
5079,Davao del Sur,2848.0,True,52.194714275775894,125.35558170430154,6.758028461029239
5246,Davao del Sur,149.0,True,59.86231608952241,125.21156598456203,6.795369136973858
5434,Davao del Sur,109.0,True,43.33922489186538,125.39231305951792,6.829833281646668
5632,Zamboanga del Sur,208.0,True,387.58013529350836,122.12151015808281,6.902739756119482
5731,Zamboanga del Sur,2610.0,True,391.4192462278649,122.08536300592593,6.9209046470475295
5833,Zamboanga del Sur,632.0,True,395.27168512316644,122.04921276850482,6.939067207540274
5941,Zamboanga del Sur,595.0,True,403.1253162511849,121.97686614021798,6.957302465726214
5951,Zamboanga del Sur,10.0,True,383.1859090653508,122.15782841174766,6.956899549720854
6303,Davao Oriental,54.0,True,68.92268035726164,126.22327995627175,6.965649457082766
6517,Cotabato (North Cotabato),3412.0,True,61.118428637673446,125.0871013019256,7.012919852115213
6669,Davao del Sur,816.0,True,18.739514011594103,125.5024307338303,7.027158270021997
6753,Cotabato (North Cotabato),16.0,True,107.6336771578919,124.65394243415153,7.052582680271536
6888,Special Geographic Area,652.0,True,105.45916909167906,124.67215032511325,7.0704893050715025
6937,Davao del Sur,3589.0,True,11.737462639707557,125.55691805645691,7.062691244505176
6940,Davao del Sur,2921.0,True,9.203256299719527,125.61105358725167,7.062159587822229
7215,Davao del Sur,16.0,True,14.333263949530885,125.50312781648681,7.099274969501185
7225,Davao del Norte,10.0,True,8.25701237361352,125.68359111063697,7.0974901353029205
7521,Davao de Oro (Compostela Valley),473.0,True,30.418720872885977,125.90046616648355,7.131293926307533
7861,Maguindanao del Norte,2739.0,True,153.0072214681229,124.23934036145982,7.200091646928419
7877,Cotabato (North Cotabato),583.0,True,121.11970860573872,124.52857283591142,7.197959226049883
8912,Davao del Norte,2929.0,True,20.05944232729538,125.68581137236572,7.313783368067359
9587,Zamboanga Sibugay,293.0,True,311.94938626579824,122.81102978983489,7.424857199859867
10006,Davao del Norte,1880.0,True,37.8105268999899,125.79547493895473,7.438794802879874
10555,Palawan,74.0,True,675.297250319048,117.30515263434059,7.521311675543196
10865,Davao del Norte,3.0,True,43.03226721047951,125.63391441289875,7.5306501531464205
12355,Bukidnon,72.0,True,90.99210238573076,125.00278065314951,7.681205174802254
12415,Davao de Oro (Compostela Valley),2462.0,True,77.56149171315204,126.08702453202447,7.66975044941965
13112,Zamboanga Sibugay,4.0,True,323.33980353686144,122.5768428271729,7.769231192909916
13825,Zamboanga del Sur,181.0,True,253.5169151965174,123.4288394721479,7.819445920653471
15251,Lanao del Norte,2664.0,True,221.8274532628493,123.77375494772822,7.925714684236944
15325,Bukidnon,688.0,True,102.60402374440956,125.11356498646728,7.914674817720286
16430,Lanao del Sur,87.0,True,176.78657879805627,124.2816509844023,8.012315984303745
16656,Lanao del Sur,30.0,True,174.54774880911404,124.3180223710188,8.030080868805427
17049,Zamboanga del Sur,17.0,True,256.4720698723109,123.48470708244582,8.072076641625603
17511,Lanao del Norte,496.0,True,187.3066410028207,124.22802392456506,8.103022146884486
17951,Bukidnon,4.0,True,123.30735193162317,125.1157393773061,8.13112670763681
18077,Misamis Occidental,181.0,True,226.11659394577802,123.8478562857971,8.160034867717911
18461,Lanao del Norte,3226.0,True,193.12291588943276,124.22874572317941,8.19330003043404
18751,Surigao del Sur,93.0,True,139.71020141011473,126.32843097383092,8.189087952619
18764,Zamboanga del Norte,442.0,True,256.1033809738775,122.99595431652584,8.23740386990835
18985,Lanao del Norte,30.0,True,193.64889219448176,124.26543116884478,8.247173646984065
20030,Bukidnon,693.0,True,161.4734950794305,124.81002873615341,8.350653275524174
21155,Misamis Occidental,3083.0,True,205.68140192972317,123.79577143781229,8.485540182745764
21175,Misamis Oriental,3842.0,True,183.3303612802627,124.64813225866057,8.478517522246028
21177,Misamis Oriental,3054.0,True,178.6956355324828,124.72063797899212,8.477834192672429
21335,Misamis Oriental,4520.0,True,188.53962780417655,124.59391657690122,8.4970695784714
21450,Zamboanga del Norte,359.0,True,212.16238247694022,123.34233475952634,8.524656067670948
21640,Misamis Oriental,3310.0,True,181.52215932630165,124.75741515770132,8.531622568445425
21707,Agusan del Sur,123.0,True,157.48805574828825,125.97099074716125,8.517987698209895
22009,Zamboanga del Norte,167.0,True,204.57133751498029,123.3427748899309,8.596931579566725
22429,Zamboanga del Norte,485.0,True,194.38834470390856,123.41584891484705,8.66875615587321
22533,Misamis Oriental,2.0,True,195.26706755148194,124.75883650400782,8.675981862300107
22897,Agusan del Sur,1367.0,True,175.6207919837863,125.73815161020548,8.719168544968793
22947,Misamis Oriental,1901.0,True,196.1694505361177,124.77769402633054,8.74798073783696
23153,Palawan,737.0,True,558.1101072056078,117.83786657036799,8.789546571080436
24232,Agusan del Norte,2275.0,True,201.71605562886765,125.54174594343631,8.955949385701729
24734,Surigao del Sur,282.0,True,221.65421189479804,126.19564418399085,9.055424294820952
24862,Agusan del Norte,455.0,True,211.29083516732337,125.56168737460538,9.099934649429308
25342,Siquijor,217.0,True,135.0799098168167,123.49214334609695,9.210287941980543
25547,Negros Oriental,1.0,True,142.63235352063478,123.27416217638479,9.247864377537669
25647,Camiguin,47.0,True,142.57370870598714,124.69211634937287,9.254160037997659
25813,Negros Oriental,3012.0,True,136.4808716300425,123.29270023113757,9.301955606345157
26050,Negros Oriental,624.0,True,132.6046079327122,123.27485981461683,9.35627857884144
26820,Negros Oriental,1121.0,True,127.73414775275498,123.14850436769215,9.519703061246817
27099,Bohol,3.0,True,87.27885560809703,123.76771244254016,9.56954622783211
27180,Negros Oriental,3881.0,True,120.89632349955876,123.13074858894036,9.592096330379347
27213,Surigao del Norte,17.0,True,159.32455593403682,125.71305446725367,9.566659260836776
27390,Bohol,137.0,True,79.30933255950615,123.85914927221937,9.62299232031791
27845,Bohol,773.0,True,71.38654775880575,123.85975738362939,9.695233714783237
28130,Palawan,395.0,True,429.6071904144706,118.73964541266191,9.753775118411218
28481,Surigao del Norte,26.0,True,138.03522244917383,125.47959951993487,9.768085149504172
28499,Palawan,1857.0,True,428.1206458178134,118.7392773189978,9.807981236135081
29016,Cebu,11.0,True,65.68704366899473,123.58807689086535,9.878039870837638
30033,Dinagat Islands,132.0,True,109.1649069539614,125.57395114661543,10.019225357644538
30126,Bohol,31.0,True,64.83307545930656,124.5004633138328,10.050321138611706
30292,Cebu,68.0,True,44.76391331825544,123.64447097376056,10.094376260564369
30499,Bohol,4.0,True,45.2261166306732,124.33729253121146,10.12421708340444
30602,Southern Leyte,53.0,True,97.37919813910248,124.84747250556426,10.13669759942898
30682,Cebu,151.0,True,35.34499338147751,123.69975666016234,10.166183817534387
31010,Cebu,101.0,True,26.372126850941296,123.75506885577893,10.23797537019288
31096,Cebu,1833.0,True,18.266849045968577,123.82816451540975,10.255411523102897
31099,Cebu,1519.0,True,9.185432601824019,123.93756564331086,10.25444311036355
31101,Cebu,555.0,True,9.774805964734083,124.02872476996151,10.253608034331421
31281,Cebu,4245.0,True,11.16636339080542,123.88319296870839,10.291050542432377
31333,Palawan,100.0,True,354.7822646365513,119.31971618791384,10.317479169442288
31477,Cebu,3018.0,True,8.418281862524918,123.90175821662186,10.327006003662195
31685,Leyte,110.0,True,87.3995025162747,124.7771948377095,10.354056291769794
31775,Cebu,2633.0,True,36.84709221754177,123.64685941507342,10.383384080959702
31790,Cebu,1778.0,True,8.795733748868832,123.92049555129343,10.381017779627268
31901,Cebu,914.0,True,8.165664937274805,123.99362526627475,10.39840487125577
31915,Southern Leyte,1599.0,True,99.96015348189927,124.97807365725272,10.387721397255524
32203,Negros Occidental,979.0,True,25.890761191891105,122.82601952960157,10.461377038166148
32386,Cebu,7.0,True,16.435820707051327,124.01255844618089,10.470462520041783
32501,Negros Occidental,223.0,True,54.43641613323822,123.41048916016045,10.493642976161851
32503,Cebu,6.0,True,33.63234460808083,123.72077472792122,10.491145776783789
32903,Cebu,44.0,True,24.339835335849468,124.01325689565407,10.542690258397274
33099,Negros Occidental,1.0,True,8.91919010491745,122.91809220025668,10.58734656041376
33667,Iloilo,13.0,True,24.941383840762906,122.31560538652981,10.680808860419413
33787,Iloilo,1889.0,True,16.70426985309878,122.38879333021427,10.698571131607496
33791,Iloilo,5.0,True,9.187802128210405,122.46190157848206,10.698239204222544
33800,Guimaras,4.0,True,8.963774490834583,122.66293611918779,10.69723815050088
33856,Leyte,2775.0,True,97.898103617394,124.79938375715916,10.67860045547972
33888,Antique,17.0,True,62.14896445789772,121.96843594803765,10.718226655495748
34046,Negros Occidental,69.0,True,8.58462362469374,122.99208985725376,10.73146270567973
34229,Antique,112.0,True,66.21969423689696,121.93203789991512,10.772575360464565
34492,Iloilo,253.0,True,8.19115360652307,122.51726991176969,10.806431583881718
34505,Negros Occidental,2180.0,True,15.281528105015639,122.97428481900731,10.80386265232245
34578,Palawan,39.0,True,166.2778966419881,121.01771745699638,10.8281952116172
35080,Negros Occidental,2000.0,True,27.349380572512327,123.04800835153655,10.893739358586128
35416,Negros Occidental,116.0,True,49.84388692335485,123.30436199535889,10.94613086303695
35808,Iloilo,4.0,True,41.16240931042546,122.82937304184476,11.02162635816837
35934,Leyte,2940.0,True,103.26687343201479,124.60280744771242,11.02384270921186
