model,n_stations_placed,newly_covered_population,pcr_before,pcr_after,pcr_gain_pp,marr
Model 4: National + Simple Distance,279,43710507.82354429,0.12678956621229875,0.4181073345347578,29.131776832245905,1.2761419809972914
Model 1: National + Modified Framework,279,42595244.059213825,0.12678956621229875,0.4106744272753126,28.388486106301386,1.3285257371776562
Model 3: Province + Simple Distance,277,41885804.32021596,0.12678956621229875,0.40594621861760394,27.91566524053052,1.3205141371505025
Model 2: Province + Modified Framework,275,39862193.50887335,0.12678956621229875,0.3924594435864524,26.566987737415364,1.3494228575593128
