resolution,total_bins,raw_records,coverage,mean_bin_count
5min,30548016,1027171,0.03362476960860568,0.033624802343955824
10min,15274008,1027171,0.062422711838307256,0.06724960468791165
15min,10182672,1027171,0.08661380824208027,0.10087440703186747
20min,7637004,1027171,0.10052816523338211,0.1344992093758233
30min,5091336,1027171,0.111799339112563,0.20174881406373493
40 min,3818502,1027171,0.1263885680824575,0.2689984187516466
1h,2545668,1027171,0.14524439164887173,0.40349762812746987
2h,1272834,1027171,0.1602950581144124,0.8069952562549397
3h,848653,1027171,0.166455547791618,1.2103545265261537
