timestamp,score,is_anomaly,alpha_bidirectional,alpha_reconstruction
2023-09-06 20:00:00+00:00,1.0264177492508066,0,0.0,0.0757262110710144
2023-09-06 20:20:00+00:00,1.026418061371355,0,0.0,0.07924860715866089
2023-09-06 20:40:00+00:00,1.0264180601565354,0,0.0,0.0757133960723877
2023-09-06 21:00:00+00:00,1.026417775421259,0,0.0,0.07251375913619995
2023-09-06 21:20:00+00:00,1.0264172070579658,0,0.0,0.06931209564208984
2023-09-06 21:40:00+00:00,1.0264159228568086,0,0.0,0.06123197078704834
2023-09-06 22:00:00+00:00,1.026413922957358,0,0.0,0.05315136909484863
2023-09-06 22:20:00+00:00,1.0264113124653693,0,0.0,0.046254873275756836
2023-09-06 22:40:00+00:00,1.0264080915042442,0,0.0,0.03935801982879639
2023-09-06 23:00:00+00:00,1.026404406925066,0,0.0,0.03411668539047241
2023-09-06 23:20:00+00:00,1.0264002588508754,0,0.0,0.028875410556793213
2023-09-06 23:40:00+00:00,1.0263957791115679,0,0.0,0.025120556354522705
2023-09-07 00:00:00+00:00,1.0263909677913865,0,0.0,0.021365702152252197
2023-09-07 00:20:00+00:00,1.0263859282084136,0,0.0,0.018775880336761475
2023-09-07 00:40:00+00:00,1.026380660420628,0,0.0,0.016186058521270752
2023-09-07 01:00:00+00:00,1.026375240266176,0,0.0,0.014451444149017334
2023-09-07 01:20:00+00:00,1.0263696677784773,0,0.0,0.01271677017211914
2023-09-07 01:40:00+00:00,1.0263639964722726,0,0.0,0.011585593223571777
2023-09-07 02:00:00+00:00,1.026358226372662,0,0.0,0.010454416275024414
2023-09-07 02:20:00+00:00,1.026352394148376,0,0.0,0.009736776351928711
2023-09-07 02:40:00+00:00,1.0263464998310392,0,0.0,0.009019315242767334
2023-09-07 03:00:00+00:00,1.0263405679957933,0,0.0,0.008579015731811523
2023-09-07 03:20:00+00:00,1.0263345986416048,0,0.0,0.008138597011566162
2023-09-07 03:40:00+00:00,1.0263286078551483,0,0.0,0.00787961483001709
2023-09-07 04:00:00+00:00,1.0263225956313047,0,0.0,0.007620513439178467
2023-09-07 04:20:00+00:00,1.0263165722270753,0,0.0,0.007477104663848877
2023-09-07 04:40:00+00:00,1.026310537661145,0,0.0,0.007333874702453613
2023-09-07 05:00:00+00:00,1.0263044982848137,0,0.0,0.007262289524078369
2023-09-07 05:20:00+00:00,1.0262984541045852,0,0.0,0.0071907639503479
2023-09-07 05:40:00+00:00,1.0262924103398854,0,0.0,0.007178127765655518
2023-09-07 06:00:00+00:00,1.0262863668849773,0,0.0,0.007164299488067627
2023-09-07 06:20:00+00:00,1.026280325049615,0,0.0,0.007165253162384033
2023-09-07 06:40:00+00:00,1.026274284828106,0,0.0,0.007166147232055664
2023-09-07 07:00:00+00:00,1.0262682462253214,0,0.0,0.00716710090637207
2023-09-07 07:20:00+00:00,1.026262209209161,0,0.0,0.007167696952819824
2023-09-07 07:40:00+00:00,1.0262561733566946,0,0.0,0.007163524627685547
2023-09-07 08:00:00+00:00,1.0262501387415692,0,0.0,0.007160186767578125
2023-09-07 08:20:00+00:00,1.0262441055113547,0,0.0,0.007158517837524414
2023-09-07 08:40:00+00:00,1.026238073327678,0,0.0,0.007153034210205078
2023-09-07 09:00:00+00:00,1.0262320416726778,0,0.0,0.007141709327697754
2023-09-07 09:20:00+00:00,1.0262260108261438,0,0.0,0.007133543491363525
2023-09-07 09:40:00+00:00,1.0262199811523003,0,0.0,0.007129490375518799
2023-09-07 10:00:00+00:00,1.026213952397333,0,0.0,0.0071225762367248535
2023-09-07 10:20:00+00:00,1.0262079250046618,0,0.0,0.007120668888092041
2023-09-07 10:40:00+00:00,1.0262018990109119,0,0.0,0.007119178771972656
2023-09-07 11:00:00+00:00,1.0261958740143273,0,0.0,0.007113158702850342
2023-09-07 11:20:00+00:00,1.0261898510234375,0,0.0,0.007118523120880127
2023-09-07 11:40:00+00:00,1.026183829847596,0,0.0,0.007121741771697998
2023-09-07 12:00:00+00:00,1.026177810153602,0,0.0,0.0071212053298950195
2023-09-07 12:20:00+00:00,1.0261717919886135,0,0.0,0.0071212053298950195
2023-09-07 12:40:00+00:00,1.0261657753839315,0,0.0,0.007121562957763672
2023-09-07 13:00:00+00:00,1.0261597604131016,0,0.0,0.00712275505065918
2023-09-07 13:20:00+00:00,1.0261537471496514,0,0.0,0.007124781608581543
2023-09-07 13:40:00+00:00,1.0261477355508943,0,0.0,0.007126331329345703
2023-09-07 14:00:00+00:00,1.0261417255688734,0,0.0,0.007127344608306885
2023-09-07 14:20:00+00:00,1.0261357171556436,0,0.0,0.007127821445465088
2023-09-07 14:40:00+00:00,1.026129710331933,0,0.0,0.007128536701202393
2023-09-07 15:00:00+00:00,1.026123705076211,0,0.0,0.007129013538360596
2023-09-07 15:20:00+00:00,1.026117701351109,0,0.0,0.007129073143005371
2023-09-07 15:40:00+00:00,1.0261116991034216,0,0.0,0.007128536701202393
2023-09-07 16:00:00+00:00,1.0261056982007344,0,0.0,0.007126510143280029
2023-09-07 16:20:00+00:00,1.0260996986427056,0,0.0,0.007124483585357666
2023-09-07 16:40:00+00:00,1.0260937004659647,0,0.0,0.0071228742599487305
2023-09-07 17:00:00+00:00,1.026087703696569,0,0.0,0.007121562957763672
2023-09-07 17:20:00+00:00,1.0260817083869767,0,0.0,0.007120847702026367
2023-09-07 17:40:00+00:00,1.0260757145896329,0,0.0,0.007120728492736816
2023-09-07 18:00:00+00:00,1.0260697223569695,0,0.0,0.0071212053298950195
2023-09-07 18:20:00+00:00,1.0260637317308414,0,0.0,0.007122159004211426
2023-09-07 18:40:00+00:00,1.0260577425893644,0,0.0,0.007121741771697998
2023-09-07 19:00:00+00:00,1.0260517549638508,0,0.0,0.007121682167053223
2023-09-07 19:20:00+00:00,1.0260457688908866,0,0.0,0.007122039794921875
2023-09-07 19:40:00+00:00,1.0260397843964855,0,0.0,0.007122695446014404
2023-09-07 20:00:00+00:00,1.026033801548907,0,0.0,0.007124125957489014
2023-09-07 20:20:00+00:00,1.0260278203530144,0,0.0,0.0071256160736083984
2023-09-07 20:40:00+00:00,1.0260218407714172,0,0.0,0.0071266889572143555
2023-09-07 21:00:00+00:00,1.0260158627508895,0,0.0,0.007127165794372559
2023-09-07 21:20:00+00:00,1.026009886338569,0,0.0,0.00712817907333374
